Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
0,230,626,126,626
6,889,51,41,51
4,481,527,507,515
23,2388,68,58,68
25,2506,55,5,12
24,2428,175,115,56
22,2424,273,183,273
13,1401,1465,1285,78
48,4833,163,113,106
47,4807,401,311,65
52,5494,23,13,23
65,6506,558,268,171
56,5728,1976,1836,102
79,7948,145,115,145
67,6887,1313,1093,89
85,8761,185,125,123
89,9078,91,81,91
91,9155,720,550,171
99,9927,1130,960,35
82,8367,2821,2671,218
49,5103,6848,6738,188
27,2916,9879,9529,93
20,2276,10686,10586,10686
28,2944,10508,10408,10508
14,1572,13348,13178,118
18,1878,13663,13423,16
88,8889,7317,7197,7317
62,6232,11015,10705,50
33,3386,14236,13896,286
31,3390,14339,14209,26
69,7114,11131,10781,97
44,4692,14500,14090,65
78,8097,11316,10906,231
41,4197,15680,15210,75
81,8320,11747,11447,3149
46,4789,15552,15352,15552
92,9303,11607,11287,7161
94,9643,11727,11527,11727
90,9214,12904,12474,171
98,10072,12395,12145,136
60,6023,16863,16453,59
54,5431,17681,17331,68
29,3179,20466,20226,44
11,1159,22706,22376,166
1,242,23797,23577,649
45,4514,20851,20641,89
40,4032,21784,21384,149
76,7892,18196,17776,61
5,778,25513,25153,164
15,1694,24975,24465,37
95,9672,18277,17977,18277
93,9353,18824,18154,271
32,3426,25140,24680,58
58,5943,22940,22400,270
53,5301,23904,23404,159
30,3241,26279,25729,134
86,8828,21356,20926,183
7,811,29997,29567,180
50,5101,26030,25490,113
36,3654,27762,27382,253
97,9859,21914,21564,83
3,331,32470,31840,746
38,3952,29171,28691,87
83,8339,25066,24656,64
77,7900,25884,25194,2755
34,3696,30400,30100,30400
8,1089,34128,33428,18561
80,8183,27356,26726,249
16,1727,34122,33522,26
61,6305,31206,30376,1355
57,5960,32054,31124,27
39,4074,34443,33843,10620
63,6497,32528,31688,84
35,3643,35860,35050,99
70,7296,32766,32186,182
51,5264,35763,35053,177
55,5671,35878,34988,2227
87,8940,33159,32299,21
72,7293,35324,34484,54
10,1122,42010,41340,115
2,328,43306,42306,635
42,4241,39932,38982,80
43,4531,40697,40117,120
84,8652,37079,36399,50
26,2633,43599,42679,13767
75,7766,38921,37441,224
9,1019,46274,45024,166
96,9842,37986,37106,330
74,7539,40814,40314,40814
12,1216,47674,46844,172
59,6196,43251,42751,43251
19,2129,47835,46875,235
64,6495,44015,42815,258
17,1889,49146,47856,111
37,3833,47715,46995,10969
21,2272,49624,49124,49624
71,7159,45421,44511,76
68,6881,46225,45425,6815
73,7306,46340,45840,46340
66,6608,47551,46671,534
